"ID Card","CPAO","Owner","Acres","Unit","Block","Lot","St #","St Name","City"
"008101","Brevard","DAVID MOALLEM TRUST","0.23","cc8","81","1","1039","HOOPER AVE NE","Palm Bay"
"0147-02","Brevard","MOALLEM","0.23","6","147","2","5681","BABCOCK ST NE","Palm Bay"
"0147-03","Brevard","MOALLEM","0.23","6","147","3","5671","BABCOCK ST ","Palm Bay"
"053509","Brevard","MOALLEM","0.27","12","535","9","895","CARNATION AVE SE","Palm Bay"
"0776-01","Brevard","MOALLEM","0.27","16","776","1","1302","VAN BUREN AVE SE","Palm Bay"
"086510","Brevard","FARMERS AND MERCHANTS","0.26","22","865","10","2251","RAMROD LN SE","Palm Bay"
"088001","Brevard","MOALLEM","0.29","22","880","1","2596","RAYBURN AVE SE","Palm Bay"
"088714","Brevard","FARMERS AND MERCHANTS","0.28","22","887","14","1075","LAVA ST  SE","Palm Bay"
"088715","Brevard","FARMERS AND MERCHANTS","0.28","22","887","15","1067","LAVA ST  SE","Palm Bay"
"090307","Brevard","MOALLEM","0.31","22","903","7","799","PAIGO ST  SE","Palm Bay"
"090601","Brevard","FARMERS AND MERCHANTS","0.28","22","906","1","800","PAINESVILLE ST SE","Palm Bay"
"092603","Brevard","MOALLEM","0.23","18","926","3","1670","WESTLUND AVE SE","Palm Bay"
"109213","Brevard","MOALLEM","0.26","19","1092","13","567","TROY RD SW","Palm Bay"
"10D1","Brevard","MOALLEM","0.27","10","373","10","246","ELDRON BLVD SE","Palm Bay"
"10F","Brevard","MOALLEM","0.48","10","F","","417","ALVARADO AVE  SE","Palm Bay"
"10H","Brevard","MOALLEM","0.84","10","H","","300","ALGIERS AVE SE","Palm Bay"
"1100-03","Brevard","MOALLEM","0.23","19","1100","3","529","SANTO DOMINGO AVE SW","Palm Bay"
"112810","Brevard","DAVID MOALLEM TRUST","0.23","23","1128","10","3262","TORONTO AVE SE","Palm Bay"
"113112","Brevard","MOALLEM","0.27","23","1131","12","3294","TOPSEY AVE SE","Palm Bay"
"117503","Brevard","FARMERS AND MERCHANTS","0.25","24","1175","3","3000","TRIANGLE RD SE","Palm Bay"
"120409","Brevard","FARMERS AND MERCHANTS","0.33","24","1204","9","838","TEDDER RD  SE","Palm Bay"
"120506","Brevard","FARMERS AND MERCHANTS","0.41","24","1205","6","893","TEDDER RD  SE","Palm Bay"
"120702","Brevard","FARMERS AND MERCHANTS","0.30","24","1207","2","3187","SAN SALVADOR AV  SE","Palm Bay"
